hex_id,Tracc_ID,NA_ID,Time,Mode,Service,Mode_W,Service_W,Thresh_W,Revised_Score
BA00002,,10,15.37077260584471,Ca,MajCtr,1,38.6,1.0,2.5112595827045427
BA00002,,1,30.06582642812233,Ca,MajCtr,1,38.6,1.0,1.2838496254969116
BA00002,,4,31.40052570351452,Ca,MajCtr,1,38.6,1.0,1.229278782287383
BA00002,,2,40.66822356290309,Ca,MajCtr,1,38.6,1.0,0.9491439905236065
BA00002,,9,71.18251633971899,Ca,MajCtr,1,38.6,1.0,0.5422679891756182
BA00002,,11,77.97706502168461,Ca,MajCtr,1,38.6,1.0,0.49501734887387394
BA00002,,7,79.77274999191519,Ca,MajCtr,1,38.6,1.0,0.483874506067699
BA00002,,8,89.77396747892358,Ca,MajCtr,1,38.6,1.0,0.42996874354541814
BA00002,,6,179.0865871006742,Ca,MajCtr,1,38.6,1.0,0.0
BA00002,,3,205.7569740854001,Ca,MajCtr,1,38.6,1.0,0.0
BA00002,,5,205.8988807064477,Ca,MajCtr,1,38.6,1.0,0.0
BA00004,,10,11.9244422667201,Ca,MajCtr,1,38.6,1.0,3.2370486716790654
BA00004,,1,26.63545348429729,Ca,MajCtr,1,38.6,1.0,1.449196276036986
BA00004,,4,27.97015275968948,Ca,MajCtr,1,38.6,1.0,1.380042516450973
BA00004,,2,37.23785061907805,Ca,MajCtr,1,38.6,1.0,1.0365796993724465
BA00004,,9,72.74701547338512,Ca,MajCtr,1,38.6,1.0,0.5306059602420667
BA00004,,11,74.54669207785956,Ca,MajCtr,1,38.6,1.0,0.5177962820896816
BA00004,,7,76.34237704809014,Ca,MajCtr,1,38.6,1.0,0.5056169521114703
BA00004,,8,86.34359453509853,Ca,MajCtr,1,38.6,1.0,0.4470511125675821
BA00004,,6,175.6562141568492,Ca,MajCtr,1,38.6,1.0,0.0
BA00004,,3,202.3266011415751,Ca,MajCtr,1,38.6,1.0,0.0
BA00004,,5,202.4685077626227,Ca,MajCtr,1,38.6,1.0,0.0
BA00006,,10,13.56315319520373,Ca,MajCtr,1,38.6,1.0,2.845945883266284
BA00006,,1,31.87344583876331,Ca,MajCtr,1,38.6,1.0,1.2110394400173734
BA00006,,4,33.2081451141555,Ca,MajCtr,1,38.6,1.0,1.1623654337605909
BA00006,,2,42.47584297354406,Ca,MajCtr,1,38.6,1.0,0.9087518292230689
BA00006,,9,70.79629248943397,Ca,MajCtr,1,38.6,1.0,0.5452262914157671
BA00006,,11,79.78468443232559,Ca,MajCtr,1,38.6,1.0,0.48380212661918875
BA00006,,7,80.78915986011373,Ca,MajCtr,1,38.6,1.0,0.47778687223429267
BA00006,,8,90.7903773471221,Ca,MajCtr,1,38.6,1.0,0.4251551885550518
BA00006,,6,180.1029969688728,Ca,MajCtr,1,38.6,1.0,0.0
BA00006,,3,206.7733839535987,Ca,MajCtr,1,38.6,1.0,0.0
BA00006,,5,206.9152905746463,Ca,MajCtr,1,38.6,1.0,0.0
BA00007,,1,15.2002686616167,Ca,MajCtr,1,38.6,1.0,2.539428799536396
BA00007,,4,16.53496793700888,Ca,MajCtr,1,38.6,1.0,2.334446619252569
BA00007,,10,23.25076266072566,Ca,MajCtr,1,38.6,1.0,1.660160596159786
BA00007,,2,28.31333567966607,Ca,MajCtr,1,38.6,1.0,1.3633151683968328
BA00007,,11,62.92301346636184,Ca,MajCtr,1,38.6,1.0,0.6134480514134192
BA00007,,7,85.96297917203684,Ca,MajCtr,1,38.6,1.0,0.44903050559416063
BA00007,,9,87.51122516837825,Ca,MajCtr,1,38.6,1.0,0.44108627122669886
BA00007,,8,100.7771143550009,Ca,MajCtr,1,38.6,1.0,0.38302346963444817
BA00007,,6,183.2263563352145,Ca,MajCtr,1,38.6,1.0,0.0
BA00007,,3,209.8967433199404,Ca,MajCtr,1,38.6,1.0,0.0
BA00007,,5,210.038649940988,Ca,MajCtr,1,38.6,1.0,0.0
BA00007,,1,41.01798571937963,Cy,MajCtr,75,38.6,1.5,11.020139033467899
BA00007,,4,41.98532659125883,Cy,MajCtr,75,38.6,1.5,10.641485666310798
BA00007,,10,56.39466032076422,Cy,MajCtr,75,38.6,1.5,6.835835298587947
BA00007,,2,76.47442698930598,Cy,MajCtr,75,38.6,1.5,4.3288667801512695
BA00007,,1,130.5272555761247,Wa,MajCtr,100,38.6,2.0,0.0
BA00007,,4,133.9309456512343,Wa,MajCtr,100,38.6,2.0,0.0
BA00007,,10,181.6911401354657,Wa,MajCtr,100,38.6,2.0,0.0
BA00007,,2,249.1383742219092,Wa,MajCtr,100,38.6,2.0,0.0
BA00008,,1,37.38323257558465,Cy,MajCtr,75,38.6,1.5,12.665819338011097
BA00008,,4,38.35057344746387,Cy,MajCtr,75,38.6,1.5,12.189637053822613
BA00008,,10,52.70518666582036,Cy,MajCtr,75,38.6,1.5,7.566038281636368
BA00008,,2,66.49824739526618,Cy,MajCtr,75,38.6,1.5,5.338672366060365
BA00008,,1,118.1990396964583,Wa,MajCtr,100,38.6,2.0,0.2762863368675363
BA00008,,4,121.6027297715679,Wa,MajCtr,100,38.6,2.0,0.0
BA00008,,10,168.5923755913435,Wa,MajCtr,100,38.6,2.0,0.0
BA00008,,2,217.0323601377286,Wa,MajCtr,100,38.6,2.0,0.0
BA00009,,10,11.44208604944777,Ca,MajCtr,1,38.6,1.0,3.373510724634251
BA00009,,1,24.03082949915654,Ca,MajCtr,1,38.6,1.0,1.606269979209616
BA00009,,4,25.36552877454873,Ca,MajCtr,1,38.6,1.0,1.521750259696162
BA00009,,2,34.63322663393728,Ca,MajCtr,1,38.6,1.0,1.114536638702201
BA00009,,11,71.72888615207681,Ca,MajCtr,1,38.6,1.0,0.5381374516002071
BA00009,,9,76.42481628144188,Ca,MajCtr,1,38.6,1.0,0.5050715445340649
BA00009,,7,79.68948798105617,Ca,MajCtr,1,38.6,1.0,0.48438007292976976
BA00009,,8,89.69070546806458,Ca,MajCtr,1,38.6,1.0,0.4303678937361462
BA00009,,6,179.0033250898152,Ca,MajCtr,1,38.6,1.0,0.0
BA00009,,3,205.6737120745411,Ca,MajCtr,1,38.6,1.0,0.0
BA00009,,5,205.8156186955887,Ca,MajCtr,1,38.6,1.0,0.0
BA00010,,10,14.04615078793467,Ca,MajCtr,1,38.6,1.0,2.7480838403896777
BA00010,,1,30.91872502390604,Ca,MajCtr,1,38.6,1.0,1.2484344024585388
BA00010,,4,32.25342429929823,Ca,MajCtr,1,38.6,1.0,1.1967721517507168
BA00010,,2,41.52112215868677,Ca,MajCtr,1,38.6,1.0,0.9296473214880192
BA00010,,9,78.34710657601461,Ca,MajCtr,1,38.6,1.0,0.4926793303151428
BA00010,,11,78.61678167682632,Ca,MajCtr,1,38.6,1.0,0.490989317760104
BA00010,,7,81.94246815071963,Ca,MajCtr,1,38.6,1.0,0.4710622082923067
BA00010,,8,91.94368563772802,Ca,MajCtr,1,38.6,1.0,0.419822195861169
BA00010,,6,181.2563052594786,Ca,MajCtr,1,38.6,1.0,0.0
BA00010,,3,207.9266922442045,Ca,MajCtr,1,38.6,1.0,0.0
BA00010,,5,208.0685988652521,Ca,MajCtr,1,38.6,1.0,0.0
