hex_id,Tracc_ID,NA_ID,Time,Mode,Service,Mode_W,Service_W,Thresh_W,Revised_Score
BA00002,,1,18,Ca,Hos,1,4.7,1.0,0
BA00002,,4,32,Ca,Hos,1,4.7,1.0,0
BA00002,,3,35,Ca,Hos,1,4.7,1.0,0
BA00002,,8,78,Ca,Hos,1,4.7,1.0,0
BA00002,,5,81,Ca,Hos,1,4.7,1.0,0
BA00002,,6,81,Ca,Hos,1,4.7,1.0,0
BA00002,,7,88,Ca,Hos,1,4.7,1.0,0
BA00002,,9,101,Ca,Hos,1,4.7,1.0,0
BA00002,,2,101,Ca,Hos,1,4.7,1.0,0
BA00002,,10,126,Ca,Hos,1,4.7,1.0,0
BA00002,,15,173,Ca,Hos,1,4.7,1.0,0
BA00002,,14,180,Ca,Hos,1,4.7,1.0,0
BA00002,,16,203,Ca,Hos,1,4.7,1.0,0
BA00002,,13,207,Ca,Hos,1,4.7,1.0,0
BA00002,,11,208,Ca,Hos,1,4.7,1.0,0
BA00002,,12,213,Ca,Hos,1,4.7,1.0,0
BA00004,,1,14,Ca,Hos,1,4.7,1.0,0
BA00004,,4,29,Ca,Hos,1,4.7,1.0,0
BA00004,,3,31,Ca,Hos,1,4.7,1.0,0
BA00004,,5,77,Ca,Hos,1,4.7,1.0,0
BA00004,,6,78,Ca,Hos,1,4.7,1.0,0
BA00004,,8,80,Ca,Hos,1,4.7,1.0,0
BA00004,,7,85,Ca,Hos,1,4.7,1.0,0
BA00004,,2,98,Ca,Hos,1,4.7,1.0,0
BA00004,,9,100,Ca,Hos,1,4.7,1.0,0
BA00004,,10,123,Ca,Hos,1,4.7,1.0,0
BA00004,,15,169,Ca,Hos,1,4.7,1.0,0
BA00004,,14,176,Ca,Hos,1,4.7,1.0,0
BA00004,,16,199,Ca,Hos,1,4.7,1.0,0
BA00004,,13,203,Ca,Hos,1,4.7,1.0,0
BA00004,,11,204,Ca,Hos,1,4.7,1.0,0
BA00004,,12,209,Ca,Hos,1,4.7,1.0,0
BA00006,,1,16,Ca,Hos,1,4.7,1.0,0
BA00006,,4,34,Ca,Hos,1,4.7,1.0,0
BA00006,,3,36,Ca,Hos,1,4.7,1.0,0
BA00006,,8,78,Ca,Hos,1,4.7,1.0,0
BA00006,,6,82,Ca,Hos,1,4.7,1.0,0
BA00006,,5,83,Ca,Hos,1,4.7,1.0,0
BA00006,,7,89,Ca,Hos,1,4.7,1.0,0
BA00006,,9,99,Ca,Hos,1,4.7,1.0,0
BA00006,,2,99,Ca,Hos,1,4.7,1.0,0
BA00006,,10,124,Ca,Hos,1,4.7,1.0,0
BA00006,,15,174,Ca,Hos,1,4.7,1.0,0
BA00006,,14,181,Ca,Hos,1,4.7,1.0,0
BA00006,,16,204,Ca,Hos,1,4.7,1.0,0
BA00006,,13,208,Ca,Hos,1,4.7,1.0,0
BA00006,,11,209,Ca,Hos,1,4.7,1.0,0
BA00006,,12,214,Ca,Hos,1,4.7,1.0,0
BA00007,,4,17,Ca,Hos,1,4.7,1.0,0
BA00007,,3,21,Ca,Hos,1,4.7,1.0,0
BA00007,,1,21,Ca,Hos,1,4.7,1.0,0
BA00007,,5,64,Ca,Hos,1,4.7,1.0,0
BA00007,,6,88,Ca,Hos,1,4.7,1.0,0
BA00007,,8,95,Ca,Hos,1,4.7,1.0,0
BA00007,,2,98,Ca,Hos,1,4.7,1.0,0
BA00007,,7,99,Ca,Hos,1,4.7,1.0,0
BA00007,,9,113,Ca,Hos,1,4.7,1.0,0
BA00007,,10,115,Ca,Hos,1,4.7,1.0,0
BA00007,,15,177,Ca,Hos,1,4.7,1.0,0
BA00007,,14,184,Ca,Hos,1,4.7,1.0,0
BA00007,,16,207,Ca,Hos,1,4.7,1.0,0
BA00007,,13,211,Ca,Hos,1,4.7,1.0,0
BA00007,,11,212,Ca,Hos,1,4.7,1.0,0
BA00007,,12,217,Ca,Hos,1,4.7,1.0,0
BA00007,,4,44,Cy,Hos,75,4.7,1.5,1
BA00007,,1,49,Cy,Hos,75,4.7,1.5,1
BA00007,,3,55,Cy,Hos,75,4.7,1.5,1
BA00007,,4,142,Wa,Hos,100,4.7,2.0,0
BA00007,,1,159,Wa,Hos,100,4.7,2.0,0
BA00007,,3,181,Wa,Hos,100,4.7,2.0,0
BA00008,,4,41,Cy,Hos,75,4.7,1.5,1
BA00008,,1,46,Cy,Hos,75,4.7,1.5,1
BA00008,,3,46,Cy,Hos,75,4.7,1.5,1
BA00008,,4,130,Wa,Hos,100,4.7,2.0,0
BA00008,,1,146,Wa,Hos,100,4.7,2.0,0
BA00008,,3,153,Wa,Hos,100,4.7,2.0,0
BA00009,,1,8,Ca,Hos,1,4.7,1.0,1
BA00009,,4,26,Ca,Hos,1,4.7,1.0,0
BA00009,,3,28,Ca,Hos,1,4.7,1.0,0
BA00009,,5,73,Ca,Hos,1,4.7,1.0,0
BA00009,,6,81,Ca,Hos,1,4.7,1.0,0
BA00009,,8,84,Ca,Hos,1,4.7,1.0,0
BA00009,,7,88,Ca,Hos,1,4.7,1.0,0
BA00009,,2,97,Ca,Hos,1,4.7,1.0,0
BA00009,,9,101,Ca,Hos,1,4.7,1.0,0
BA00009,,10,118,Ca,Hos,1,4.7,1.0,0
BA00009,,15,173,Ca,Hos,1,4.7,1.0,0
BA00009,,14,180,Ca,Hos,1,4.7,1.0,0
BA00009,,16,203,Ca,Hos,1,4.7,1.0,0
BA00009,,13,207,Ca,Hos,1,4.7,1.0,0
