hex_id,Tracc_ID,NA_ID,Time,Mode,Service,Mode_W,Service_W,Thresh_W,Revised_Score
BA00002,,10,15,Ca,MajCtr,1,38.6,1.0,3
BA00002,,1,30,Ca,MajCtr,1,38.6,1.0,1
BA00002,,4,31,Ca,MajCtr,1,38.6,1.0,1
BA00002,,2,41,Ca,MajCtr,1,38.6,1.0,1
BA00002,,9,71,Ca,MajCtr,1,38.6,1.0,1
BA00002,,11,78,Ca,MajCtr,1,38.6,1.0,0
BA00002,,7,80,Ca,MajCtr,1,38.6,1.0,0
BA00002,,8,90,Ca,MajCtr,1,38.6,1.0,0
BA00002,,6,179,Ca,MajCtr,1,38.6,1.0,0
BA00002,,3,206,Ca,MajCtr,1,38.6,1.0,0
BA00002,,5,206,Ca,MajCtr,1,38.6,1.0,0
BA00004,,10,12,Ca,MajCtr,1,38.6,1.0,3
BA00004,,1,27,Ca,MajCtr,1,38.6,1.0,1
BA00004,,4,28,Ca,MajCtr,1,38.6,1.0,1
BA00004,,2,37,Ca,MajCtr,1,38.6,1.0,1
BA00004,,9,73,Ca,MajCtr,1,38.6,1.0,1
BA00004,,11,75,Ca,MajCtr,1,38.6,1.0,1
BA00004,,7,76,Ca,MajCtr,1,38.6,1.0,1
BA00004,,8,86,Ca,MajCtr,1,38.6,1.0,0
BA00004,,6,176,Ca,MajCtr,1,38.6,1.0,0
BA00004,,3,202,Ca,MajCtr,1,38.6,1.0,0
BA00004,,5,202,Ca,MajCtr,1,38.6,1.0,0
BA00006,,10,14,Ca,MajCtr,1,38.6,1.0,3
BA00006,,1,32,Ca,MajCtr,1,38.6,1.0,1
BA00006,,4,33,Ca,MajCtr,1,38.6,1.0,1
BA00006,,2,42,Ca,MajCtr,1,38.6,1.0,1
BA00006,,9,71,Ca,MajCtr,1,38.6,1.0,1
BA00006,,11,80,Ca,MajCtr,1,38.6,1.0,0
BA00006,,7,81,Ca,MajCtr,1,38.6,1.0,0
BA00006,,8,91,Ca,MajCtr,1,38.6,1.0,0
BA00006,,6,180,Ca,MajCtr,1,38.6,1.0,0
BA00006,,3,207,Ca,MajCtr,1,38.6,1.0,0
BA00006,,5,207,Ca,MajCtr,1,38.6,1.0,0
BA00007,,1,15,Ca,MajCtr,1,38.6,1.0,3
BA00007,,4,17,Ca,MajCtr,1,38.6,1.0,2
BA00007,,10,23,Ca,MajCtr,1,38.6,1.0,2
BA00007,,2,28,Ca,MajCtr,1,38.6,1.0,1
BA00007,,11,63,Ca,MajCtr,1,38.6,1.0,1
BA00007,,7,86,Ca,MajCtr,1,38.6,1.0,0
BA00007,,9,88,Ca,MajCtr,1,38.6,1.0,0
BA00007,,8,101,Ca,MajCtr,1,38.6,1.0,0
BA00007,,6,183,Ca,MajCtr,1,38.6,1.0,0
BA00007,,3,210,Ca,MajCtr,1,38.6,1.0,0
BA00007,,5,210,Ca,MajCtr,1,38.6,1.0,0
BA00007,,1,41,Cy,MajCtr,75,38.6,1.5,11
BA00007,,4,42,Cy,MajCtr,75,38.6,1.5,11
BA00007,,10,56,Cy,MajCtr,75,38.6,1.5,7
BA00007,,2,76,Cy,MajCtr,75,38.6,1.5,4
BA00007,,1,131,Wa,MajCtr,100,38.6,2.0,0
BA00007,,4,134,Wa,MajCtr,100,38.6,2.0,0
BA00007,,10,182,Wa,MajCtr,100,38.6,2.0,0
BA00007,,2,249,Wa,MajCtr,100,38.6,2.0,0
BA00008,,1,37,Cy,MajCtr,75,38.6,1.5,13
BA00008,,4,38,Cy,MajCtr,75,38.6,1.5,12
BA00008,,10,53,Cy,MajCtr,75,38.6,1.5,8
BA00008,,2,66,Cy,MajCtr,75,38.6,1.5,5
BA00008,,1,118,Wa,MajCtr,100,38.6,2.0,0
BA00008,,4,122,Wa,MajCtr,100,38.6,2.0,0
BA00008,,10,169,Wa,MajCtr,100,38.6,2.0,0
BA00008,,2,217,Wa,MajCtr,100,38.6,2.0,0
BA00009,,10,11,Ca,MajCtr,1,38.6,1.0,3
BA00009,,1,24,Ca,MajCtr,1,38.6,1.0,2
BA00009,,4,25,Ca,MajCtr,1,38.6,1.0,2
BA00009,,2,35,Ca,MajCtr,1,38.6,1.0,1
BA00009,,11,72,Ca,MajCtr,1,38.6,1.0,1
BA00009,,9,76,Ca,MajCtr,1,38.6,1.0,1
BA00009,,7,80,Ca,MajCtr,1,38.6,1.0,0
BA00009,,8,90,Ca,MajCtr,1,38.6,1.0,0
BA00009,,6,179,Ca,MajCtr,1,38.6,1.0,0
BA00009,,3,206,Ca,MajCtr,1,38.6,1.0,0
BA00009,,5,206,Ca,MajCtr,1,38.6,1.0,0
BA00010,,10,14,Ca,MajCtr,1,38.6,1.0,3
BA00010,,1,31,Ca,MajCtr,1,38.6,1.0,1
BA00010,,4,32,Ca,MajCtr,1,38.6,1.0,1
BA00010,,2,42,Ca,MajCtr,1,38.6,1.0,1
BA00010,,9,78,Ca,MajCtr,1,38.6,1.0,0
BA00010,,11,79,Ca,MajCtr,1,38.6,1.0,0
BA00010,,7,82,Ca,MajCtr,1,38.6,1.0,0
BA00010,,8,92,Ca,MajCtr,1,38.6,1.0,0
BA00010,,6,181,Ca,MajCtr,1,38.6,1.0,0
BA00010,,3,208,Ca,MajCtr,1,38.6,1.0,0
BA00010,,5,208,Ca,MajCtr,1,38.6,1.0,0
BA00011,,10,11,Ca,MajCtr,1,38.6,1.0,4
BA00011,,1,28,Ca,MajCtr,1,38.6,1.0,1
BA00011,,4,29,Ca,MajCtr,1,38.6,1.0,1
BA00011,,2,38,Ca,MajCtr,1,38.6,1.0,1
BA00011,,9,74,Ca,MajCtr,1,38.6,1.0,1
BA00011,,11,76,Ca,MajCtr,1,38.6,1.0,1
BA00011,,7,78,Ca,MajCtr,1,38.6,1.0,0
BA00011,,8,88,Ca,MajCtr,1,38.6,1.0,0
BA00011,,6,177,Ca,MajCtr,1,38.6,1.0,0
BA00011,,3,203,Ca,MajCtr,1,38.6,1.0,0
BA00011,,5,204,Ca,MajCtr,1,38.6,1.0,0
BA00013,,10,12,Ca,MajCtr,1,38.6,1.0,3
BA00013,,1,33,Ca,MajCtr,1,38.6,1.0,1
BA00013,,4,34,Ca,MajCtr,1,38.6,1.0,1
BA00013,,2,44,Ca,MajCtr,1,38.6,1.0,1
BA00013,,9,72,Ca,MajCtr,1,38.6,1.0,1
BA00013,,11,81,Ca,MajCtr,1,38.6,1.0,0
BA00013,,7,82,Ca,MajCtr,1,38.6,1.0,0
BA00013,,8,92,Ca,MajCtr,1,38.6,1.0,0
BA00013,,6,181,Ca,MajCtr,1,38.6,1.0,0
BA00013,,3,208,Ca,MajCtr,1,38.6,1.0,0
BA00013,,5,208,Ca,MajCtr,1,38.6,1.0,0
BA00014,,1,9,Ca,MajCtr,1,38.6,1.0,4
BA00014,,4,10,Ca,MajCtr,1,38.6,1.0,4
BA00014,,10,20,Ca,MajCtr,1,38.6,1.0,2
BA00014,,2,24,Ca,MajCtr,1,38.6,1.0,2
BA00014,,11,54,Ca,MajCtr,1,38.6,1.0,1
BA00014,,7,86,Ca,MajCtr,1,38.6,1.0,0
