hex_id,Tracc_ID,NA_ID,Time,Mode,Service,Mode_W,Service_W,Thresh_W,Revised_Score
BA00002,,10,15,Ca,CitCtr,1,38.6,1.0,3
BA00002,,9,15,Ca,CitCtr,1,38.6,1.0,3
BA00002,,8,30,Ca,CitCtr,1,38.6,1.0,1
BA00002,,6,31,Ca,CitCtr,1,38.6,1.0,1
BA00002,,7,31,Ca,CitCtr,1,38.6,1.0,1
BA00002,,5,31,Ca,CitCtr,1,38.6,1.0,1
BA00002,,4,32,Ca,CitCtr,1,38.6,1.0,1
BA00002,,2,33,Ca,CitCtr,1,38.6,1.0,1
BA00002,,3,33,Ca,CitCtr,1,38.6,1.0,1
BA00002,,1,34,Ca,CitCtr,1,38.6,1.0,1
BA00004,,10,11,Ca,CitCtr,1,38.6,1.0,3
BA00004,,9,11,Ca,CitCtr,1,38.6,1.0,3
BA00004,,8,26,Ca,CitCtr,1,38.6,1.0,1
BA00004,,6,27,Ca,CitCtr,1,38.6,1.0,1
BA00004,,7,27,Ca,CitCtr,1,38.6,1.0,1
BA00004,,5,28,Ca,CitCtr,1,38.6,1.0,1
BA00004,,4,29,Ca,CitCtr,1,38.6,1.0,1
BA00004,,2,30,Ca,CitCtr,1,38.6,1.0,1
BA00004,,3,30,Ca,CitCtr,1,38.6,1.0,1
BA00004,,1,31,Ca,CitCtr,1,38.6,1.0,1
BA00006,,10,13,Ca,CitCtr,1,38.6,1.0,3
BA00006,,9,13,Ca,CitCtr,1,38.6,1.0,3
BA00006,,8,32,Ca,CitCtr,1,38.6,1.0,1
BA00006,,6,33,Ca,CitCtr,1,38.6,1.0,1
BA00006,,7,33,Ca,CitCtr,1,38.6,1.0,1
BA00006,,5,33,Ca,CitCtr,1,38.6,1.0,1
BA00006,,4,34,Ca,CitCtr,1,38.6,1.0,1
BA00006,,2,35,Ca,CitCtr,1,38.6,1.0,1
BA00006,,3,35,Ca,CitCtr,1,38.6,1.0,1
BA00006,,1,36,Ca,CitCtr,1,38.6,1.0,1
BA00007,,8,15,Ca,CitCtr,1,38.6,1.0,3
BA00007,,6,16,Ca,CitCtr,1,38.6,1.0,2
BA00007,,7,16,Ca,CitCtr,1,38.6,1.0,2
BA00007,,5,17,Ca,CitCtr,1,38.6,1.0,2
BA00007,,4,17,Ca,CitCtr,1,38.6,1.0,2
BA00007,,2,18,Ca,CitCtr,1,38.6,1.0,2
BA00007,,3,19,Ca,CitCtr,1,38.6,1.0,2
BA00007,,1,19,Ca,CitCtr,1,38.6,1.0,2
BA00007,,9,22,Ca,CitCtr,1,38.6,1.0,2
BA00007,,10,24,Ca,CitCtr,1,38.6,1.0,2
BA00007,,8,35,Cy,CitCtr,75,38.6,1.5,14
BA00007,,6,40,Cy,CitCtr,75,38.6,1.5,12
BA00007,,7,42,Cy,CitCtr,75,38.6,1.5,11
BA00007,,5,43,Cy,CitCtr,75,38.6,1.5,10
BA00007,,4,44,Cy,CitCtr,75,38.6,1.5,10
BA00007,,2,46,Cy,CitCtr,75,38.6,1.5,9
